"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 14 14:57:52 GMT 2023","Wed Jun 14 14:58:54 GMT 2023","61985","","AppTest","","AppTest","firstFlight","Validate first flight to Thessaloniki",""
"passed","Wed Jun 14 14:58:54 GMT 2023","Wed Jun 14 14:59:52 GMT 2023","58390","","AppTest","","AppTest","secondFlight","Validate second flight to London",""
