"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 21 10:46:50 GMT 2023","Wed Jun 21 10:47:31 GMT 2023","41545","","AppTest","","AppTest","secondFlight","Validate second flight to London",""
"passed","Wed Jun 21 10:46:09 GMT 2023","Wed Jun 21 10:46:49 GMT 2023","40975","","AppTest","","AppTest","firstFlight","Validate first flight to Thessaloniki",""
